problem_id,original_rate,var1_addperm_rate,var2_mulperm_rate,var3_rename_rate,sigma
lin01,1.0,1.0,1.0,1.0,0.0
lin02,1.0,1.0,1.0,1.0,0.0
lin03,1.0,1.0,1.0,1.0,0.0
lin04,1.0,1.0,1.0,1.0,0.0
lin05,1.0,1.0,1.0,1.0,0.0
qua01,0.0,0.0,0.0,1.0,0.5
qua02,0.0,0.0,0.0,1.0,0.5
qua03,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
qua04,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666669
qua05,0.5,0.5,0.5,1.0,0.25
rat01,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666669
rat02,1.0,1.0,1.0,1.0,0.0
rat03,1.0,1.0,1.0,1.0,0.0
rat04,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666669
rat05,1.0,1.0,1.0,1.0,0.0
poly01,1.0,1.0,1.0,1.0,0.0
poly02,0.0,0.0,0.0,0.0,0.0
poly03,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
poly04,1.0,1.0,1.0,0.5,0.25
poly05,0.0,0.0,0.0,0.0,0.0
